gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5868133124	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/321186143	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Rugulopteryx	Rugulopteryx okamurae		SPECIES	Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009	Rugulopteryx okamurae		FR		Languedoc-Roussillon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.424697	3.70003	96.0						2025-10-15	15	10	2025	5824863	5824863	HUMAN_OBSERVATION	iNaturalist	Observations	321186143		Pascal GIRARD	2025-10-16T07:09:25	CC_BY_NC_4_0	Pascal GIRARD	Pascal GIRARD			2025-10-27T23:58:07.848Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5867862883	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/321186145	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Rugulopteryx	Rugulopteryx okamurae		SPECIES	Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009	Rugulopteryx okamurae		FR		Languedoc-Roussillon	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.424697	3.70003	96.0						2025-10-15	15	10	2025	5824863	5824863	HUMAN_OBSERVATION	iNaturalist	Observations	321186145		Pascal GIRARD	2025-10-16T07:09:25	CC_BY_NC_4_0	Pascal GIRARD	Pascal GIRARD			2025-10-28T00:56:12.452Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5844431381	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/319838079	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Rugulopteryx	Rugulopteryx okamurae		SPECIES	Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009	Rugulopteryx okamurae		FR		Provence-Alpes-Côte d'Azur	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.214032	5.325451	63.0						2025-10-08T20:58	8	10	2025	5824863	5824863	HUMAN_OBSERVATION	iNaturalist	Observations	319838079		Sylvain Le Bris	2025-10-09T21:11:57	CC_BY_NC_4_0	Sylvain Le Bris	Sylvain Le Bris			2025-10-27T23:56:48.064Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5844122096	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/319600251	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Rugulopteryx	Rugulopteryx okamurae		SPECIES	Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009	Rugulopteryx okamurae		FR		Provence-Alpes-Côte d'Azur	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.44956	4.433542	185.0						2025-10-07T21:04	7	10	2025	5824863	5824863	HUMAN_OBSERVATION	iNaturalist	Observations	319600251		Frédéric ANDRE	2025-10-08T17:21:31	CC_BY_NC_4_0	Frédéric ANDRE	Frédéric ANDRE			2025-10-27T23:56:43.210Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5840069636	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/319164622	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Rugulopteryx	Rugulopteryx okamurae		SPECIES	Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009	Rugulopteryx okamurae		FR		Provence-Alpes-Côte d'Azur	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.210931	5.350958	67.0						2025-10-02T21:22	2	10	2025	5824863	5824863	HUMAN_OBSERVATION	iNaturalist	Observations	319164622		Sylvain Le Bris	2025-10-06T16:08:52	CC_BY_NC_4_0	Sylvain Le Bris	Sylvain Le Bris			2025-10-28T00:55:51.306Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5838391429	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/317205515	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Rugulopteryx	Rugulopteryx okamurae		SPECIES	Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009	Rugulopteryx okamurae		FR		Provence-Alpes-Côte d'Azur	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.19748	5.361221	85.0						2025-09-27T15:24	27	9	2025	5824863	5824863	HUMAN_OBSERVATION	iNaturalist	Observations	317205515		Sylvain Le Bris	2025-09-28T09:34:14	CC_BY_NC_4_0	Sylvain Le Bris	Sylvain Le Bris			2025-10-27T22:45:46.940Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5837896179	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/309919973	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Rugulopteryx	Rugulopteryx okamurae		SPECIES	Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009	Rugulopteryx okamurae		ES		Galicia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	42.113594	-8.835586	16.0						2025-08-29T12:05:43	29	8	2025	5824863	5824863	HUMAN_OBSERVATION	iNaturalist	Observations	309919973		César Capinha	2025-08-29T10:07:01	CC_BY_NC_4_0	César Capinha	César Capinha			2025-10-27T23:54:49.011Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5830770555	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/315574135	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Rugulopteryx	Rugulopteryx okamurae		SPECIES	Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009	Rugulopteryx okamurae		FR		Provence-Alpes-Côte d'Azur	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.214032	5.325451	63.0						2025-09-20T22:22	20	9	2025	5824863	5824863	HUMAN_OBSERVATION	iNaturalist	Observations	315574135		Sylvain Le Bris	2025-09-21T17:17:50	CC_BY_NC_4_0	Sylvain Le Bris	Sylvain Le Bris			2025-10-28T00:55:11.398Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5830672374	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/268756214	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Rugulopteryx	Rugulopteryx okamurae		SPECIES	Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009	Rugulopteryx okamurae		ES		Andalucía	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.070138	-5.433418							2025-04-05T15:35:31	5	4	2025	5824863	5824863	HUMAN_OBSERVATION	iNaturalist	Observations	268756214		Daniel Gomes	2025-04-05T16:55:34	CC_BY_4_0	Daniel Gomes	Daniel Gomes			2025-10-28T00:46:08.322Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5830597213	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/314574194	Chromista	Ochrophyta	Phaeophyceae	Dictyotales	Dictyotaceae	Rugulopteryx	Rugulopteryx okamurae		SPECIES	Rugulopteryx okamurae (E.Y.Dawson) I.K.Hwang, W.J.Lee & H.S.Kim, 2009	Rugulopteryx okamurae		PT		Azores	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.703515	-27.04729	168.0						2025-06-29T17:27Z	29	6	2025	5824863	5824863	HUMAN_OBSERVATION	iNaturalist	Observations	314574194		Valter Medeiros	2025-09-17T14:48:05	CC_BY_NC_4_0	miguelberkemeier	miguelberkemeier			2025-10-27T22:51:59.572Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
